Strategy,Flux,Biomass,N_of_deletions,C_limit
"['4CMLCL_kt', 'UPPN']",8.713169547171261e-06,0.0914812649455509,2,9
"['AGMT', 'FOLD3']",0.0,0.4178046935802186,2,9
"['VALDHr', '3HBCD']",0.0,0.4178046935800823,2,9
"['AGMT', 'PPCK']",0.0,0.4174133755887005,2,9
"['4CMLCL_kt', 'RBK']",0.0,0.0914828617039086,2,9
"['AGMDA', 'PPCK']",0.0,0.4174133755886546,2,9
"['MCITS', 'PPCK']",0.0,0.4174133755887009,2,9
"['MCITS', '3HBCD']",0.0,0.4178046935800766,2,9
"['MCITS', 'VALDHr']",0.0,0.4178046935801256,2,9
"['AOXHEXCYCL', 'RBK', 'HACD8i']",2.499504302824751e-05,0.4177991216361125,3,9
['FALDM'],1.200349071461826e-05,0.4178024761280038,1,9
['ACOAD22f'],0.0,0.417804693580122,1,9
['G6PBDH'],0.0,0.4178046935802164,1,9
['ACONTb'],0.0,0.3948266755026801,1,9
"['HACD4i', 'FALDM']",1.2003490375833705e-05,0.4178024761280657,2,9
"['ICDHyr', 'GLYCTO1']",0.0,0.3370692016780878,2,9
"['ACONTb', 'ICDHyr']",0.0,0.3948266755027827,2,9
"['G6PBDH', 'HACD1i']",0.0,0.4178046935801226,2,9
"['ACOAD22f', 'GLYCTO1']",0.0,0.3471126734498291,2,9
"['ACONTb', 'GLYCTO1', 'FALDM']",1.164510224561932e-05,0.3158078091870688,3,9
"['SUCOAS', 'FALDM']",1.2609586870394818e-05,0.4065871401217286,2,9
"['XAND', 'PTRCTA2']",0.0,0.4178046935800484,2,9
"['PPK50r', 'AKGDa']",0.0,0.4062896559053091,2,9
"['MUCCY_kt', 'AKGDa', 'FALDM']",2.793464273651708e-06,0.090073268898831,3,9
"['PTRCTA2', 'LEUDHr', 'PC']",0.0,0.4178046935800725,3,9
"['XAND', 'PTRCTA2', 'PC']",0.0,0.4178046935800825,3,9
